"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 31 13:20:26 CAT 2023","Mon Jul 31 13:20:34 CAT 2023","8621","chromium","","","","","my test",""
"failed","Mon Jul 31 13:13:43 CAT 2023","Mon Jul 31 13:13:43 CAT 2023","75","chromium","","","","","my test  @smoke @regression @mysuite",""
